2026-07-22 09:25:54.937 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE758T01015/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:54.968 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE935N01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:54.995 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE047A01021/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:55.020 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE860A01027/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:55.047 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE066A01021/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:55.071 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE040A01034/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:55.111 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE795G01014/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:55.146 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE176B01034/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:55.180 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE158A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:55.218 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE038A01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:59.850 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:59.869 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE361B01024/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:59.905 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE089A01031/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:59.934 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE758E01017/day/2026-07-22/2026-06-22: Event loop is closed
